source_url,target_url,anchor_text,alt_text,nofollow,path_type
"https://campbellwindowfilm.com/how-much-to-tint-windows/","https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","Privacy window tinting film","","false","2"
"https://campbellwindowfilm.com/sitemap/","https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","The Best Window Film For Privacy & Security","","false","2"
"https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","Commercial Services","","false","3"
"https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","Services","","false","3"
"https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","Products","","false","3"
"https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","Skip to content","","false","3"
"https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","Resources","","false","3"
"https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","Residential Services","","false","3"
"https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","Commercial Services","","false","3"
"https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","Services","","false","3"
"https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","Products","","false","3"
"https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","Resources","","false","3"
"https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","Residential Services","","false","3"
"https://campbellwindowfilm.com/where-to-buy-3m-window-film/","https://campbellwindowfilm.com/the-best-window-film-for-privacy-security/","privacy window films","","false","2"
