source_url,target_url,anchor_text,alt_text,nofollow,path_type
"https://mgtfilms.com/blog/category/home-window-film/page/2/","https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","","commercial reflective window film","false","2"
"https://mgtfilms.com/blog/category/home-window-film/page/2/","https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","How Effective is Reflective Window Film in Blocking Heat?","","false","2"
"https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","Conclusion","","false","3"
"https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","Are There Any Downsides to Reflective Window Film?","","false","3"
"https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","Maintenance","","false","3"
"https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","Installation","","false","3"
"https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","Installation and Maintenance of Reflective Window Film","","false","3"
"https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","What Can You Expect?","","false","3"
"https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","Factors Affecting Effectiveness","","false","3"
"https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","How Effective is It at Blocking Heat?","","false","3"
"https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","6. Aesthetic Appeal","","false","3"
"https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","5. Extended Window Lifespan","","false","3"
"https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","https://mgtfilms.com/blog/how-effective-reflective-window-film-in-blocking-heat/","4. Enhanced Privacy","","false","3"
