source_url,target_url,anchor_text,alt_text,nofollow,path_type
"https://mgtfilms.com/blog/","https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","Top Heat Control Films for Hot Climates: What You Need to Know","","false","2"
"https://mgtfilms.com/blog/","https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","","heat control window films near me","false","2"
"https://mgtfilms.com/blog/category/window-tinting/page/2/","https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","","heat control window films near me","false","2"
"https://mgtfilms.com/blog/category/window-tinting/page/2/","https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","Top Heat Control Films for Hot Climates: What You Need to Know","","false","2"
"https://mgtfilms.com/blog/solar-control-window-film-chicago-condos/","https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","top heat-control films available today","","false","2"
"https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","Need Help Choosing the Right Heat Control Film in Mississippi?","","false","3"
"https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","Final Thoughts","","false","3"
"https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","Cost of Heat Control Window Film","","false","3"
"https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","Why Choose Professional Installation?","","false","3"
"https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","Installation Tips","","false","3"
"https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","Offices and Commercial Buildings","","false","3"
"https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","Homes","","false","3"
"https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","https://mgtfilms.com/blog/top-heat-control-films-for-hot-climates/","Applications: Where to Use Heat Control Films","","false","3"
